2018-11-29 16:19:54,567|ERROR|程序运行发生异常
2018-11-29 16:21:04,219|DEBUG|恭喜你，生成了随机数:6
2018-11-29 16:21:04,220|DEBUG|恭喜你，生成了随机数:93
2018-11-29 16:21:04,220|DEBUG|恭喜你，生成了随机数:89
2018-11-29 16:21:04,220|DEBUG|恭喜你，生成了随机数:82
2018-11-29 16:21:04,220|DEBUG|恭喜你，生成了随机数:69
2018-11-29 16:21:04,221|DEBUG|恭喜你，生成了随机数:46
2018-11-29 16:21:04,221|DEBUG|恭喜你，生成了随机数:30
2018-11-29 16:21:04,221|DEBUG|恭喜你，生成了随机数:48
2018-11-29 16:21:04,221|DEBUG|恭喜你，生成了随机数:85
2018-11-29 16:21:04,221|DEBUG|恭喜你，生成了随机数:16
2018-11-29 16:35:12,195|DEBUG|恭喜你，生成了随机数:8
2018-11-29 16:35:12,196|DEBUG|恭喜你，生成了随机数:6
2018-11-29 16:35:12,196|DEBUG|恭喜你，生成了随机数:91
2018-11-29 16:35:12,276|DEBUG|恭喜你，生成了随机数:58
2018-11-29 16:35:12,277|DEBUG|恭喜你，生成了随机数:36
2018-11-29 16:35:12,277|DEBUG|恭喜你，生成了随机数:93
2018-11-29 16:35:12,277|DEBUG|恭喜你，生成了随机数:28
2018-11-29 16:35:12,277|DEBUG|恭喜你，生成了随机数:23
2018-11-29 16:35:12,277|DEBUG|恭喜你，生成了随机数:88
2018-11-29 16:35:12,278|DEBUG|恭喜你，生成了随机数:82
